records,410,435,460,485,510,535,560,585,610,645,680,705,730,760,810,860,900,940,capacitity_moist,temp,moist,ec_(u/10_gram),ph,nitro_(mg/10_g),posh_nitro_(mg/10_g),pota_nitro_(mg/10_g),Soil Health,Soil_Type,ML,Test_Case
127,150,43,103,18,104,87,18,23,124,34,38,20,23,12,41,88,18,2,321,35.5,0,0,7.55,0,0,0,Poor,106,0,158
128,151,43,103,18,105,87,18,24,124,35,38,20,23,12,41,88,18,2,316,35.5,0,0,7.55,0,0,0,Poor,106,0,159
129,151,43,103,23,104,95,19,26,127,34,45,21,24,13,41,92,18,2,326,35.5,0,0,7.54,0,0,0,Poor,106,0,151
130,154,35,88,3,71,68,11,18,8,28,94,16,7,5,11,6,5,1,202,35.6,44,66,7.87,6,8,16,Moderate,106,25,160
131,159,35,91,4,72,70,10,17,8,27,94,16,8,6,12,6,5,1,201,35.6,44,66,8.07,6,8,16,Poor,106,25,162
132,156,35,89,0,71,61,10,16,5,28,89,16,7,5,12,4,5,1,200,35.6,45,66,7.87,6,8,16,Moderate,106,25,163
133,155,35,89,58,71,50,8,13,1,28,95,15,6,5,11,1,5,1,196,35.6,45,66,7.88,6,8,16,Moderate,106,25,164
134,155,35,89,3,71,69,11,18,8,28,95,16,7,6,12,7,5,1,199,35.6,45,66,7.88,6,8,16,Moderate,106,25,165
135,155,35,89,2,72,66,11,18,7,28,95,16,7,6,12,6,5,1,198,35.6,45,66,7.88,6,8,16,Moderate,106,25,166
136,155,35,89,56,72,43,6,12,146,28,89,15,6,5,12,156,5,1,201,35.6,45,66,7.88,6,8,16,Moderate,106,25,167
137,158,35,90,0,72,62,10,16,5,28,89,16,7,6,12,4,5,1,198,35.6,45,66,8.07,6,8,16,Poor,106,25,168
138,158,35,91,1,72,63,9,16,6,28,89,16,7,6,12,4,5,1,196,35.6,47,66,8.07,6,8,16,Poor,106,25,169
139,158,36,91,1,72,63,9,15,6,27,89,16,8,6,12,5,5,1,199,35.6,47,66,8.07,6,8,16,Poor,106,25,161
140,133,33,69,3,52,39,8,15,27,21,90,20,6,5,19,17,11,2,253,35.7,122,79,7.27,7,9,18,Poor,106,50,170
141,133,33,70,3,52,41,8,15,29,20,91,20,6,6,20,17,11,2,249,35.7,119,83,7.92,7,9,19,Poor,106,50,172
142,133,33,69,7,51,47,10,16,31,21,96,20,7,6,19,20,11,2,255,35.7,120,80,7.27,7,9,19,Poor,106,50,173
143,132,33,69,7,51,47,10,17,32,21,96,20,7,6,19,20,11,2,250,35.7,120,81,7.27,7,9,19,Poor,106,50,174
144,131,33,70,58,52,23,5,10,19,21,91,18,5,4,20,11,11,1,285,35.7,120,81,7.97,7,9,19,Poor,106,50,175
145,132,33,70,4,52,41,9,15,28,21,91,20,7,6,20,18,11,2,251,35.7,120,81,7.97,7,9,19,Poor,106,50,176
146,132,33,70,61,52,30,6,12,23,21,96,19,6,5,20,13,11,1,257,35.7,120,82,7.97,7,9,19,Poor,106,50,177
147,132,33,71,58,52,26,5,11,21,20,91,18,5,4,20,11,11,1,253,35.7,119,82,7.97,7,9,19,Poor,106,50,178
148,133,33,71,3,52,41,8,15,29,20,91,20,7,6,20,18,11,2,253,35.7,119,83,7.92,7,9,19,Poor,106,50,179
149,134,33,71,5,52,45,10,16,31,20,96,20,7,6,20,19,11,2,254,35.7,119,83,7.92,7,9,19,Poor,106,50,171
180,229,74,160,25,112,120,42,63,116,80,57,6,23,18,46,111,23,3,334,36.2,0,0,7.84,0,0,0,Poor,11,0,210
181,226,73,158,24,111,118,41,62,117,79,58,5,22,17,47,111,23,3,295,36.2,0,0,7.64,0,0,0,Poor,11,0,212
182,227,73,159,24,110,118,41,62,117,80,59,5,22,17,47,112,23,3,329,36.2,0,0,7.63,0,0,0,Poor,11,0,213
183,227,74,158,24,110,117,41,62,115,80,59,6,22,17,47,113,23,2,322,36.2,0,0,7.63,0,0,0,Poor,11,0,214
184,227,74,159,21,110,114,39,59,114,79,56,5,22,17,47,110,23,3,332,36.2,0,0,7.63,0,0,0,Poor,11,0,215
185,226,74,159,32,111,127,48,69,123,79,58,8,25,20,47,114,23,3,341,36.2,0,0,7.63,0,0,0,Poor,11,0,216
186,226,74,159,24,111,117,41,61,115,79,58,5,22,17,47,113,23,3,333,36.2,0,0,7.64,0,0,0,Poor,11,0,217
187,226,74,159,25,111,119,42,62,118,79,60,5,23,18,47,113,23,3,339,36.2,0,0,7.64,0,0,0,Poor,11,0,218
188,226,74,159,21,111,113,39,59,113,79,56,5,22,17,47,110,23,3,326,36.2,0,0,7.64,0,0,0,Poor,11,0,219
189,226,73,159,25,111,119,42,62,117,79,58,5,22,17,47,113,23,3,293,36.2,0,0,7.64,0,0,0,Poor,11,0,211
190,186,51,122,3,74,65,17,24,46,28,108,21,11,7,23,41,10,1,3,36.3,28,66,7.68,6,8,16,Moderate,11,25,220
191,179,50,116,5,71,70,18,25,48,28,4,22,10,8,23,44,10,1,7,36.3,28,66,7.88,6,8,16,Moderate,11,25,222
192,185,51,121,4,73,67,17,24,46,28,108,21,10,7,23,42,10,1,3,36.3,28,66,7.68,6,8,16,Moderate,11,25,223
193,185,51,120,6,73,73,18,26,50,28,4,22,10,8,23,45,10,2,4,36.3,28,66,7.68,6,8,16,Moderate,11,25,224
